time,ax,ay,az,atotal
2022-11-15 11:10:30.1390,-0.05,-0.56,-2.24,2.3
2022-11-15 11:10:30.1430,-0.08,-0.33,-2.19,2.21
2022-11-15 11:10:30.1500,-0.1,-0.16,-2.23,2.23
2022-11-15 11:10:30.1510,-0.07,-0.04,-2.26,2.26
2022-11-15 11:10:30.1670,-0.05,-0.02,-2.14,2.14
2022-11-15 11:10:30.1690,-0.05,-0.06,-1.92,1.92
2022-11-15 11:10:30.1820,-0.03,-0.14,-1.86,1.86
2022-11-15 11:10:30.1850,0.04,-0.23,-1.8,1.81
2022-11-15 11:10:30.1980,0.2,-0.27,-1.72,1.75
2022-11-15 11:10:30.2000,0.36,-0.25,-1.77,1.82
2022-11-15 11:10:30.2170,0.51,-0.27,-2.08,2.15
2022-11-15 11:10:30.2180,0.58,-0.34,-2.44,2.53
2022-11-15 11:10:30.2340,0.58,-0.35,-2.58,2.66
2022-11-15 11:10:30.2360,0.56,-0.19,-2.3,2.37
2022-11-15 11:10:30.2490,0.39,0.04,-1.6,1.64
2022-11-15 11:10:30.2520,0.08,0.29,-0.94,0.98
2022-11-15 11:10:30.2650,-0.06,0.57,-0.56,0.8
2022-11-15 11:10:30.2680,-0.04,0.74,-0.2,0.76
2022-11-15 11:10:30.2810,0.05,0.8,0.05,0.8
2022-11-15 11:10:30.2830,0.08,0.87,0.09,0.87
2022-11-15 11:10:30.3020,-0.11,0.98,0.12,0.99
2022-11-15 11:10:30.3050,-0.4,1.07,0.33,1.18
2022-11-15 11:10:30.3150,-0.61,1.18,0.64,1.47
2022-11-15 11:10:30.3170,-0.63,1.44,0.91,1.81
2022-11-15 11:10:30.3330,-0.65,1.65,1.16,2.11
2022-11-15 11:10:30.3360,-0.65,1.73,1.64,2.47
2022-11-15 11:10:30.3490,-0.56,1.64,2.12,2.73
2022-11-15 11:10:30.3520,-0.47,1.6,2.25,2.8
2022-11-15 11:10:30.3650,-0.57,1.67,2.11,2.75
2022-11-15 11:10:30.3670,-0.69,1.78,1.99,2.75
2022-11-15 11:10:30.3840,-0.61,1.78,1.93,2.69
