time,ax,ay,az,atotal
2022-11-15 21:15:04.6150,-0.68,0.12,-0.33,0.76
2022-11-15 21:15:04.6170,-0.72,0.22,-0.29,0.8
2022-11-15 21:15:04.6210,-0.65,0.37,-0.13,0.75
2022-11-15 21:15:04.6220,-0.74,0.4,-0.07,0.84
2022-11-15 21:15:04.6380,-0.79,0.34,-0.02,0.86
2022-11-15 21:15:04.6970,-0.76,0.27,-0.1,0.81
2022-11-15 21:15:04.6980,-0.65,0.28,-0.22,0.74
2022-11-15 21:15:04.7050,-0.65,0.33,-0.24,0.76
2022-11-15 21:15:04.7050,-0.58,0.31,-0.23,0.69
2022-11-15 21:15:04.7210,-0.52,0.17,-0.38,0.66
2022-11-15 21:15:04.7220,-0.48,-0.07,-0.41,0.63
2022-11-15 21:15:04.7370,-0.33,-0.25,-0.21,0.46
2022-11-15 21:15:04.7380,-0.34,-0.42,-0.07,0.54
2022-11-15 21:15:04.7540,-0.49,-0.59,-0.15,0.78
2022-11-15 21:15:04.7540,-0.66,-0.67,-0.22,0.96
2022-11-15 21:15:04.8150,-0.76,-0.66,-0.25,1.03
2022-11-15 21:15:04.8160,-0.9,-0.55,-0.32,1.1
2022-11-15 21:15:04.8200,-0.92,-0.08,-0.16,0.93
2022-11-15 21:15:04.8200,-0.53,0.99,0.26,1.15
2022-11-15 21:15:04.8380,-0.38,1.51,0.01,1.55
2022-11-15 21:15:04.8390,-0.07,2.16,0.77,2.29
2022-11-15 21:15:04.8540,0.5,2.27,0.95,2.51
2022-11-15 21:15:04.8550,0.98,1.75,-0.7,2.12
2022-11-15 21:15:04.8700,1.35,1.25,-1.62,2.45
2022-11-15 21:15:04.8710,1.74,0.64,-2.21,2.88
2022-11-15 21:15:04.9320,1.97,-0.01,-2.91,3.51
2022-11-15 21:15:04.9320,1.96,-0.68,-3.08,3.71
2022-11-15 21:15:04.9380,1.5,-1.44,-2.4,3.17
2022-11-15 21:15:04.9380,0.85,-1.99,-1.42,2.58
2022-11-15 21:15:04.9550,0.52,-2.18,-0.26,2.25
2022-11-15 21:15:04.9550,0.49,-2.02,1.18,2.39
2022-11-15 21:15:04.9700,0.56,-1.66,2.1,2.73
2022-11-15 21:15:04.9710,0.54,-1.18,2.52,2.83
2022-11-15 21:15:04.9870,0.15,-0.69,3.58,3.64
