time,ax,ay,az,atotal
2022-11-13 14:8:54.8900,0.19,0.3,0.89,0.95
2022-11-13 14:8:54.8910,0.18,0.42,0.87,0.98
2022-11-13 14:8:54.8930,0.16,0.4,0.93,1.02
2022-11-13 14:8:54.8950,0.52,0.06,-0.07,0.52
2022-11-13 14:8:54.9030,0.5,-0.29,-1.09,1.23
2022-11-13 14:8:54.9140,0.18,-0.14,-0.85,0.88
2022-11-13 14:8:54.9240,-0.05,0.15,0.0,0.15
2022-11-13 14:8:54.9340,-0.36,0.31,0.13,0.49
2022-11-13 14:8:54.9440,-0.39,0.2,-0.25,0.5
2022-11-13 14:8:54.9540,-0.08,0.14,-0.62,0.64
2022-11-13 14:8:54.9890,0.21,0.19,-0.71,0.76
2022-11-13 14:8:54.9900,0.27,0.22,-0.38,0.51
2022-11-13 14:8:54.9910,0.23,0.2,-0.05,0.3
2022-11-13 14:8:54.9940,0.18,0.0,0.02,0.18
2022-11-13 14:8:55.0040,0.41,-0.14,-0.02,0.43
2022-11-13 14:8:55.0140,0.51,-0.73,0.38,0.96
2022-11-13 14:8:55.0240,0.97,-1.67,0.92,2.13
2022-11-13 14:8:55.0340,1.37,-2.82,1.12,3.32
2022-11-13 14:8:55.0440,1.35,-3.62,0.64,3.91
2022-11-13 14:8:55.0540,1.32,-2.85,-0.75,3.22
2022-11-13 14:8:55.0890,1.51,-1.2,-2.26,2.97
2022-11-13 14:8:55.0910,1.11,0.61,-2.95,3.21
2022-11-13 14:8:55.0920,-0.41,3.39,-1.89,3.9
2022-11-13 14:8:55.0940,-2.54,5.98,1.22,6.61
2022-11-13 14:8:55.1040,-2.98,5.54,1.14,6.39
2022-11-13 14:8:55.1140,-1.8,2.17,-1.37,3.13
2022-11-13 14:8:55.1240,-0.55,-0.39,-1.49,1.63
2022-11-13 14:8:55.1340,0.36,-1.0,-0.9,1.39
2022-11-13 14:8:55.1440,0.51,-0.47,-0.83,1.08
2022-11-13 14:8:55.1540,0.1,0.16,-0.81,0.83
2022-11-13 14:8:55.1900,-0.04,0.19,-0.83,0.85
2022-11-13 14:8:55.1900,0.13,0.13,-1.27,1.28
2022-11-13 14:8:55.1930,-0.02,0.1,-1.04,1.04
2022-11-13 14:8:55.1950,-0.16,0.06,-0.59,0.61
2022-11-13 14:8:55.2040,-0.15,0.12,-0.4,0.44
2022-11-13 14:8:55.2150,-0.15,0.19,-0.2,0.31
2022-11-13 14:8:55.2250,0.19,0.11,-0.43,0.48
2022-11-13 14:8:55.2350,0.38,0.03,-0.86,0.94
2022-11-13 14:8:55.2450,0.47,0.07,-1.13,1.22
2022-11-13 14:8:55.2550,0.59,0.01,-0.79,0.98
2022-11-13 14:8:55.2890,0.96,-0.04,-0.39,1.03
2022-11-13 14:8:55.2900,1.82,-0.55,0.21,1.91
2022-11-13 14:8:55.2920,2.31,-1.18,0.48,2.63
2022-11-13 14:8:55.2950,2.19,-0.98,0.24,2.41
2022-11-13 14:8:55.3050,1.88,-0.16,-0.28,1.9
2022-11-13 14:8:55.3150,1.58,0.85,-1.38,2.26
2022-11-13 14:8:55.3250,1.16,1.57,-1.62,2.53
2022-11-13 14:8:55.3350,0.52,1.35,-1.24,1.9
2022-11-13 14:8:55.3450,0.73,0.39,-1.53,1.73
2022-11-13 14:8:55.3550,3.47,0.15,-1.57,3.81
2022-11-13 14:8:55.3900,5.02,-0.06,-2.18,5.47
2022-11-13 14:8:55.3910,1.67,-0.95,-4.25,4.66
2022-11-13 14:8:55.3930,1.19,-0.71,-2.97,3.27
2022-11-13 14:8:55.3960,1.53,-0.55,-1.96,2.54
2022-11-13 14:8:55.4050,1.77,-0.81,-1.03,2.2
2022-11-13 14:8:55.4150,2.17,-1.26,0.07,2.51
2022-11-13 14:8:55.4250,2.14,-1.32,0.96,2.69
2022-11-13 14:8:55.4350,2.09,-1.02,1.48,2.75
2022-11-13 14:8:55.4450,2.46,-1.33,0.93,2.94
2022-11-13 14:8:55.4550,2.64,-2.16,0.11,3.41
2022-11-13 14:8:55.4900,2.29,-2.4,-0.49,3.35
2022-11-13 14:8:55.4910,1.4,-2.17,-1.61,3.04
2022-11-13 14:8:55.4930,0.48,-2.26,-2.63,3.5
2022-11-13 14:8:55.4960,0.05,-2.35,-3.57,4.27
2022-11-13 14:8:55.5050,0.23,-1.99,-5.12,5.49
2022-11-13 14:8:55.5150,0.4,-1.6,-6.35,6.56
2022-11-13 14:8:55.5250,-0.46,-1.64,-6.58,6.79
2022-11-13 14:8:55.5350,-2.36,-3.11,-6.17,7.3
2022-11-13 14:8:55.5460,-4.08,-5.05,-4.49,7.89
2022-11-13 14:8:55.5560,-3.29,-5.52,-2.67,6.95
2022-11-13 14:8:55.5900,-1.39,-4.87,-2.11,5.48
2022-11-13 14:8:55.5910,-0.96,-4.78,-1.97,5.25
2022-11-13 14:8:55.5930,-1.16,-5.65,-0.82,5.82
