time,ax,ay,az,atotal
2022-11-15 11:10:30.1250,3.22,2.79,2.14,4.76
2022-11-15 11:10:30.1270,2.05,1.74,3.25,4.21
2022-11-15 11:10:30.1370,0.78,0.24,4.18,4.25
2022-11-15 11:10:30.1390,-0.1,-1.07,4.39,4.51
2022-11-15 11:10:30.1540,-0.35,-1.85,3.66,4.11
2022-11-15 11:10:30.1560,-0.16,-2.05,2.33,3.1
2022-11-15 11:10:30.1690,0.29,-2.01,0.85,2.2
2022-11-15 11:10:30.1710,0.88,-1.73,-0.5,2.0
2022-11-15 11:10:30.1860,1.56,-1.26,-1.39,2.43
2022-11-15 11:10:30.1880,2.0,-0.95,-2.06,3.02
2022-11-15 11:10:30.2030,2.07,-0.79,-2.33,3.21
2022-11-15 11:10:30.2050,1.99,-0.7,-2.23,3.06
2022-11-15 11:10:30.2210,1.61,-0.78,-1.85,2.57
2022-11-15 11:10:30.2230,1.05,-0.99,-1.1,1.81
2022-11-15 11:10:30.2370,0.58,-1.07,-0.02,1.21
2022-11-15 11:10:30.2390,0.27,-0.97,0.88,1.33
2022-11-15 11:10:30.2540,0.03,-0.79,1.26,1.48
2022-11-15 11:10:30.2570,-0.04,-0.62,1.39,1.52
2022-11-15 11:10:30.2690,-0.03,-0.46,1.3,1.37
2022-11-15 11:10:30.2720,-0.19,-0.49,0.93,1.06
2022-11-15 11:10:30.2850,-0.37,-0.71,0.37,0.88
2022-11-15 11:10:30.2870,-0.53,-0.97,-0.36,1.16
2022-11-15 11:10:30.3050,-0.72,-1.17,-1.12,1.77
2022-11-15 11:10:30.3070,-0.71,-1.13,-1.83,2.26
2022-11-15 11:10:30.3210,-0.48,-1.02,-2.29,2.55
2022-11-15 11:10:30.3220,-0.21,-0.86,-2.52,2.67
2022-11-15 11:10:30.3370,0.0,-0.7,-2.48,2.57
2022-11-15 11:10:30.3400,0.19,-0.55,-2.24,2.31
2022-11-15 11:10:30.3520,0.3,-0.48,-1.88,1.96
2022-11-15 11:10:30.3550,0.2,-0.45,-1.65,1.72
2022-11-15 11:10:30.3680,0.19,-0.44,-1.61,1.67
2022-11-15 11:10:30.3700,0.1,-0.56,-1.48,1.58
2022-11-15 11:10:30.3880,-0.23,-0.69,-1.11,1.32
2022-11-15 11:10:30.3900,-0.45,-0.59,-0.72,1.03
2022-11-15 11:10:30.4050,-0.38,-0.33,-0.19,0.53
2022-11-15 11:10:30.4070,-0.2,-0.06,0.51,0.55
2022-11-15 11:10:30.4210,-0.16,0.15,0.96,0.98
2022-11-15 11:10:30.4230,-0.18,0.27,1.1,1.14
2022-11-15 11:10:30.4370,-0.11,0.31,1.17,1.21
2022-11-15 11:10:30.4400,-0.04,0.25,1.12,1.14
2022-11-15 11:10:30.4510,-0.04,0.08,1.09,1.09
2022-11-15 11:10:30.4530,-0.2,-0.19,1.08,1.11
2022-11-15 11:10:30.4710,-0.41,-0.41,1.1,1.24
2022-11-15 11:10:30.4730,-0.36,-0.29,1.26,1.34
2022-11-15 11:10:30.4870,-0.08,0.26,1.29,1.31
2022-11-15 11:10:30.4890,0.4,1.01,1.24,1.64
2022-11-15 11:10:30.5040,0.91,1.67,1.29,2.29
2022-11-15 11:10:30.5060,1.15,2.04,1.41,2.73
2022-11-15 11:10:30.5190,1.14,2.15,1.5,2.85
2022-11-15 11:10:30.5220,1.08,2.04,1.61,2.81
2022-11-15 11:10:30.5350,1.0,1.67,1.92,2.73
2022-11-15 11:10:30.5370,0.77,0.94,2.25,2.55
2022-11-15 11:10:30.5550,0.46,0.06,2.54,2.58
2022-11-15 11:10:30.5570,-0.05,-0.69,2.98,3.05
2022-11-15 11:10:30.5700,-0.56,-1.28,3.15,3.44
2022-11-15 11:10:30.5720,-0.83,-1.52,3.15,3.59
2022-11-15 11:10:30.5870,-0.96,-1.46,2.86,3.35
2022-11-15 11:10:30.5910,-1.01,-1.36,2.44,2.97
2022-11-15 11:10:30.6040,-1.0,-1.08,2.18,2.63
2022-11-15 11:10:30.6070,-0.87,-0.74,2.13,2.41
2022-11-15 11:10:30.6180,-0.82,-0.63,1.81,2.08
2022-11-15 11:10:30.6210,-0.94,-0.76,1.26,1.74
2022-11-15 11:10:30.6380,-1.03,-0.83,0.67,1.48
2022-11-15 11:10:30.6400,-0.95,-0.79,0.16,1.24
2022-11-15 11:10:30.6540,-0.73,-0.54,-0.25,0.94
2022-11-15 11:10:30.6560,-0.55,-0.21,-0.52,0.78
2022-11-15 11:10:30.6690,-0.55,-0.18,-0.57,0.81
2022-11-15 11:10:30.6720,-0.79,-0.5,-0.42,1.02
2022-11-15 11:10:30.6860,-1.11,-1.07,-0.32,1.57
2022-11-15 11:10:30.6890,-1.21,-1.48,-0.15,1.91
2022-11-15 11:10:30.7020,-1.12,-1.68,0.08,2.02
2022-11-15 11:10:30.7040,-1.01,-1.75,0.21,2.03
2022-11-15 11:10:30.7210,-0.98,-1.72,0.09,1.98
2022-11-15 11:10:30.7230,-1.17,-1.73,-0.1,2.09
2022-11-15 11:10:30.7380,-1.44,-1.78,-0.26,2.3
2022-11-15 11:10:30.7410,-1.61,-1.91,-0.45,2.53
2022-11-15 11:10:30.7530,-1.7,-2.13,-0.67,2.8
2022-11-15 11:10:30.7550,-1.67,-2.2,-0.99,2.93
2022-11-15 11:10:30.7690,-1.48,-2.07,-1.3,2.85
2022-11-15 11:10:30.7720,-1.19,-1.8,-1.66,2.72
2022-11-15 11:10:30.7850,-0.86,-1.29,-2.13,2.63
2022-11-15 11:10:30.7870,-0.57,-0.61,-2.38,2.52
2022-11-15 11:10:30.8050,-0.42,-0.02,-2.28,2.31
2022-11-15 11:10:30.8070,-0.36,0.26,-2.26,2.3
2022-11-15 11:10:30.8210,-0.39,0.54,-2.32,2.41
2022-11-15 11:10:30.8240,-0.33,0.74,-2.18,2.32
2022-11-15 11:10:30.8350,0.77,-0.69,-0.66,1.22
2022-11-15 11:10:30.8370,0.79,-0.48,-0.77,1.2
2022-11-15 11:10:30.8540,0.83,-0.17,-0.82,1.17
2022-11-15 11:10:30.8550,0.87,0.15,-0.8,1.19
2022-11-15 11:10:30.8700,0.77,0.23,-0.55,0.97
2022-11-15 11:10:30.8720,0.15,-0.06,-0.1,0.19
2022-11-15 11:10:30.8870,-0.45,-0.53,0.12,0.7
2022-11-15 11:10:30.8900,-0.57,-0.84,-0.01,1.01
2022-11-15 11:10:30.9020,-0.28,-0.7,-0.27,0.8
2022-11-15 11:10:30.9050,0.18,-0.37,-0.58,0.71
2022-11-15 11:10:30.9180,0.42,0.04,-0.84,0.94
2022-11-15 11:10:30.9200,0.24,0.54,-1.18,1.31
2022-11-15 11:10:30.9380,0.09,0.86,-1.64,1.85
2022-11-15 11:10:30.9400,0.23,1.05,-1.98,2.25
2022-11-15 11:10:30.9550,0.64,1.09,-2.34,2.65
2022-11-15 11:10:30.9580,0.99,1.06,-2.78,3.13
2022-11-15 11:10:30.9700,0.92,0.99,-2.81,3.11
2022-11-15 11:10:30.9710,0.36,0.71,-2.1,2.24
2022-11-15 11:10:30.9870,-0.3,0.27,-1.12,1.19
2022-11-15 11:10:30.9900,-0.8,-0.08,-0.09,0.8
2022-11-15 11:10:31.0020,-0.83,-0.37,0.73,1.16
2022-11-15 11:10:31.0040,-0.55,-0.25,0.55,0.81
2022-11-15 11:10:31.0210,-0.28,0.43,-0.38,0.63
2022-11-15 11:10:31.0230,0.23,1.15,-0.82,1.43
2022-11-15 11:10:31.0370,0.71,1.57,-1.03,2.0
2022-11-15 11:10:31.0390,1.06,1.76,-1.14,2.34
2022-11-15 11:10:31.0540,1.21,1.83,-1.12,2.46
2022-11-15 11:10:31.0560,1.21,1.71,-1.25,2.43
2022-11-15 11:10:31.0690,1.03,1.56,-1.4,2.33
2022-11-15 11:10:31.0710,0.67,1.41,-1.26,2.0
2022-11-15 11:10:31.0850,0.34,1.4,-0.63,1.57
2022-11-15 11:10:31.0870,0.14,1.44,0.52,1.53
2022-11-15 11:10:31.1050,0.07,1.34,1.83,2.26
2022-11-15 11:10:31.1070,0.02,1.22,2.61,2.88
2022-11-15 11:10:31.1210,-0.02,1.3,2.53,2.84
2022-11-15 11:10:31.1230,0.29,1.41,1.9,2.38
2022-11-15 11:10:31.1360,0.53,1.47,0.72,1.72
2022-11-15 11:10:31.1380,0.29,1.3,-0.35,1.37
2022-11-15 11:10:31.1530,0.05,1.07,-0.45,1.16
2022-11-15 11:10:31.1560,0.06,1.03,-0.05,1.03
2022-11-15 11:10:31.1680,0.29,1.23,0.46,1.34
2022-11-15 11:10:31.1700,0.39,1.5,0.62,1.66
2022-11-15 11:10:31.1880,0.31,1.7,0.48,1.79
2022-11-15 11:10:31.1900,0.22,1.82,0.22,1.84
2022-11-15 11:10:31.2040,0.37,1.94,0.13,1.97
2022-11-15 11:10:31.2050,0.38,1.82,0.43,1.9
2022-11-15 11:10:31.2200,0.31,1.32,1.07,1.72
2022-11-15 11:10:31.2220,0.27,0.66,1.43,1.59
2022-11-15 11:10:31.2370,0.23,0.15,1.45,1.47
2022-11-15 11:10:31.2400,0.17,-0.04,1.51,1.52
2022-11-15 11:10:31.2520,0.01,-0.23,1.36,1.37
2022-11-15 11:10:31.2540,0.18,-0.34,1.3,1.35
2022-11-15 11:10:31.2710,0.45,-0.29,1.71,1.79
2022-11-15 11:10:31.2730,0.35,-0.34,2.42,2.46
2022-11-15 11:10:31.2880,0.05,-0.49,2.95,2.99
2022-11-15 11:10:31.2910,-0.24,-0.61,3.04,3.1
2022-11-15 11:10:31.3020,-0.45,-0.76,2.89,3.02
2022-11-15 11:10:31.3050,-0.71,-1.09,2.46,2.78
2022-11-15 11:10:31.3200,-0.99,-1.52,1.69,2.47
2022-11-15 11:10:31.3230,-1.29,-1.77,0.78,2.32
2022-11-15 11:10:31.3350,-1.42,-1.76,0.0,2.26
2022-11-15 11:10:31.3370,-1.03,-1.76,-0.53,2.1
2022-11-15 11:10:31.3550,-0.95,-1.56,-0.95,2.05
2022-11-15 11:10:31.3560,-1.24,-1.25,-1.07,2.06
2022-11-15 11:10:31.3710,-1.64,-1.29,-0.94,2.28
2022-11-15 11:10:31.3740,-1.95,-1.38,-0.74,2.5
2022-11-15 11:10:31.3870,-2.15,-1.39,-0.42,2.59
2022-11-15 11:10:31.3900,-2.09,-1.28,-0.32,2.47
2022-11-15 11:10:31.4040,-1.86,-1.15,-0.21,2.19
2022-11-15 11:10:31.4060,-1.38,-1.19,-0.04,1.82
2022-11-15 11:10:31.4180,-0.85,-1.39,0.23,1.64
2022-11-15 11:10:31.4200,-0.5,-1.66,0.52,1.8
2022-11-15 11:10:31.4380,-0.77,-2.07,0.38,2.24
2022-11-15 11:10:31.4400,-1.27,-2.36,-0.16,2.68
2022-11-15 11:10:31.4540,-1.61,-2.21,-0.94,2.89
2022-11-15 11:10:31.4560,-1.31,-1.68,-1.69,2.71
2022-11-15 11:10:31.4700,-0.72,-0.87,-2.37,2.62
2022-11-15 11:10:31.4730,0.07,-0.06,-2.69,2.69
2022-11-15 11:10:31.4870,0.8,0.5,-2.53,2.7
2022-11-15 11:10:31.4900,1.14,0.77,-2.08,2.49
2022-11-15 11:10:31.5020,1.19,0.73,-1.41,1.98
2022-11-15 11:10:31.5040,0.76,0.47,-0.89,1.26
2022-11-15 11:10:31.5210,0.01,0.14,-0.61,0.62
2022-11-15 11:10:31.5230,-0.7,-0.2,-0.39,0.82
2022-11-15 11:10:31.5380,-1.1,-0.09,-0.68,1.29
2022-11-15 11:10:31.5410,-0.96,0.44,-1.72,2.01
2022-11-15 11:10:31.5540,-0.35,1.14,-2.01,2.33
2022-11-15 11:10:31.5560,0.2,1.6,-1.75,2.37
2022-11-15 11:10:31.5700,0.01,1.81,-1.64,2.44
2022-11-15 11:10:31.5720,0.3,2.0,-1.31,2.4
2022-11-15 11:10:31.5850,0.91,1.99,-0.81,2.33
2022-11-15 11:10:31.5870,1.21,1.55,-0.32,1.99
2022-11-15 11:10:31.6050,0.85,0.73,0.06,1.12
2022-11-15 11:10:31.6070,0.27,-0.08,0.39,0.48
2022-11-15 11:10:31.6210,-0.07,-0.55,0.72,0.9
2022-11-15 11:10:31.6240,0.02,-0.63,1.14,1.3
2022-11-15 11:10:31.6360,0.43,-0.35,1.3,1.41
2022-11-15 11:10:31.6380,0.74,0.06,1.36,1.54
2022-11-15 11:10:31.6520,1.08,0.41,1.31,1.74
2022-11-15 11:10:31.6550,1.41,0.72,1.49,2.17
2022-11-15 11:10:31.6690,1.3,0.72,2.09,2.56
2022-11-15 11:10:31.6710,1.08,0.35,3.15,3.34
2022-11-15 11:10:31.6880,0.87,-0.23,4.04,4.13
2022-11-15 11:10:31.6900,0.63,-0.67,3.96,4.06
2022-11-15 11:10:31.7040,0.54,-1.08,3.43,3.63
2022-11-15 11:10:31.7050,0.36,-1.35,2.45,2.82
2022-11-15 11:10:31.7200,0.56,-1.6,1.3,2.13
2022-11-15 11:10:31.7230,0.95,-1.7,0.29,1.96
2022-11-15 11:10:31.7350,1.14,-1.55,-0.44,1.97
2022-11-15 11:10:31.7380,1.13,-1.38,-0.88,1.98
2022-11-15 11:10:31.7510,0.95,-1.23,-1.1,1.9
2022-11-15 11:10:31.7530,0.79,-0.86,-1.48,1.88
2022-11-15 11:10:31.7710,0.81,-0.36,-2.0,2.18
2022-11-15 11:10:31.7730,0.89,-0.06,-2.26,2.42
2022-11-15 11:10:31.7880,0.92,0.0,-2.36,2.53
2022-11-15 11:10:31.7920,0.86,-0.14,-2.23,2.39
2022-11-15 11:10:31.8020,0.73,-0.37,-1.81,1.98
2022-11-15 11:10:31.8040,0.78,-0.47,-1.4,1.67
2022-11-15 11:10:31.8200,0.91,-0.45,-1.11,1.5
2022-11-15 11:10:31.8230,1.11,-0.59,-0.87,1.52
2022-11-15 11:10:31.8350,1.21,-0.71,-0.52,1.49
2022-11-15 11:10:31.8370,1.09,-0.66,-0.05,1.27
2022-11-15 11:10:31.8550,0.9,-0.39,0.17,0.99
2022-11-15 11:10:31.8570,0.74,-0.04,0.24,0.77
2022-11-15 11:10:31.8710,0.76,0.18,0.27,0.82
2022-11-15 11:10:31.8740,0.88,0.2,0.22,0.92
2022-11-15 11:10:31.8870,0.59,-0.29,0.55,0.85
2022-11-15 11:10:31.8900,-0.12,-1.25,1.22,1.75
2022-11-15 11:10:31.9030,-0.47,-1.74,1.75,2.51
2022-11-15 11:10:31.9060,-0.32,-1.3,1.64,2.11
2022-11-15 11:10:31.9180,-0.4,-0.61,1.13,1.34
2022-11-15 11:10:31.9200,-0.65,-0.11,0.49,0.82
2022-11-15 11:10:31.9380,-0.66,-0.05,0.18,0.68
2022-11-15 11:10:31.9400,-0.79,-0.29,-0.14,0.85
2022-11-15 11:10:31.9540,-0.73,-0.12,-0.56,0.92
2022-11-15 11:10:31.9550,-0.51,0.21,-0.93,1.08
2022-11-15 11:10:31.9690,-0.18,0.46,-1.18,1.27
2022-11-15 11:10:31.9720,-0.2,0.47,-1.7,1.77
2022-11-15 11:10:31.9870,-0.28,0.45,-2.31,2.37
2022-11-15 11:10:31.9900,-0.16,0.67,-2.73,2.81
2022-11-15 11:10:32.0020,0.03,0.88,-2.73,2.86
2022-11-15 11:10:32.0040,-0.24,0.81,-1.18,1.45
2022-11-15 11:10:32.0210,0.22,1.13,-0.55,1.27
2022-11-15 11:10:32.0230,0.64,1.39,-0.36,1.57
2022-11-15 11:10:32.0370,0.91,1.55,-0.11,1.8
2022-11-15 11:10:32.0390,1.23,1.79,-0.35,2.19
2022-11-15 11:10:32.0520,1.0,1.7,-0.67,2.08
2022-11-15 11:10:32.0550,0.77,1.66,-0.82,2.0
2022-11-15 11:10:32.0700,0.94,1.82,-0.71,2.16
2022-11-15 11:10:32.0730,1.13,1.92,-0.48,2.27
2022-11-15 11:10:32.0850,1.38,2.02,-0.01,2.44
2022-11-15 11:10:32.0870,1.18,1.97,0.51,2.35
2022-11-15 11:10:32.1050,0.68,1.68,0.76,1.96
2022-11-15 11:10:32.1070,0.04,1.27,0.89,1.55
2022-11-15 11:10:32.1210,-0.52,0.86,0.76,1.26
2022-11-15 11:10:32.1240,-0.37,0.66,0.65,0.99
2022-11-15 11:10:32.1370,0.11,0.9,0.24,0.93
2022-11-15 11:10:32.1400,-1.0,0.78,-0.25,1.29
2022-11-15 11:10:32.1540,-0.38,1.11,-0.2,1.19
2022-11-15 11:10:32.1560,0.56,1.43,0.48,1.6
2022-11-15 11:10:32.1680,0.98,1.71,1.71,2.6
2022-11-15 11:10:32.1700,0.93,1.97,3.36,4.0
2022-11-15 11:10:32.1880,0.86,1.96,4.97,5.41
2022-11-15 11:10:32.1900,0.54,1.56,5.78,6.01
2022-11-15 11:10:32.2020,0.05,0.9,5.56,5.63
2022-11-15 11:10:32.2050,-0.18,0.35,4.76,4.77
2022-11-15 11:10:32.2200,0.01,0.15,3.54,3.54
2022-11-15 11:10:32.2230,0.11,0.09,2.21,2.21
2022-11-15 11:10:32.2350,-0.08,-0.1,0.92,0.92
2022-11-15 11:10:32.2380,-0.19,-0.77,-0.03,0.79
2022-11-15 11:10:32.2510,-0.55,-1.48,-0.66,1.71
2022-11-15 11:10:32.2540,-1.14,-1.8,-1.17,2.43
2022-11-15 11:10:32.2710,-1.14,-1.59,-1.45,2.43
2022-11-15 11:10:32.2730,-0.9,-1.39,-1.33,2.12
2022-11-15 11:10:32.2880,-0.92,-1.17,-0.92,1.74
2022-11-15 11:10:32.2910,-1.07,-0.9,-0.52,1.49
2022-11-15 11:10:32.3040,-1.12,-0.75,-0.38,1.4
2022-11-15 11:10:32.3060,-1.25,-0.94,-0.63,1.68
2022-11-15 11:10:32.3200,-1.35,-1.27,-0.99,2.1
2022-11-15 11:10:32.3230,-1.48,-1.53,-1.07,2.38
2022-11-15 11:10:32.3340,-1.59,-1.77,-0.76,2.49
2022-11-15 11:10:32.3370,-1.56,-1.79,-0.82,2.51
2022-11-15 11:10:32.3550,-1.34,-1.52,-1.53,2.53
2022-11-15 11:10:32.3570,-1.05,-1.16,-1.51,2.17
2022-11-15 11:10:32.3710,-0.84,-0.87,-1.08,1.62
2022-11-15 11:10:32.3740,-0.95,-0.76,-0.56,1.33
2022-11-15 11:10:32.3850,-1.22,-0.85,-0.02,1.48
2022-11-15 11:10:32.3880,-1.56,-1.23,0.38,2.02
2022-11-15 11:10:32.4020,-1.8,-1.56,0.45,2.42
2022-11-15 11:10:32.4050,-1.71,-1.37,-0.11,2.19
2022-11-15 11:10:32.4180,-1.61,-0.73,-1.21,2.14
2022-11-15 11:10:32.4200,-0.99,-0.28,-1.92,2.17
2022-11-15 11:10:32.4380,-1.01,-0.36,-2.24,2.48
2022-11-15 11:10:32.4400,-1.2,-0.16,-2.73,2.98
2022-11-15 11:10:32.4550,-0.88,0.3,-2.65,2.8
2022-11-15 11:10:32.4580,-0.64,0.63,-2.26,2.43
2022-11-15 11:10:32.4690,-0.78,0.66,-1.83,2.09
2022-11-15 11:10:32.4710,-1.0,0.56,-1.49,1.87
2022-11-15 11:10:32.4870,-0.99,0.67,-1.3,1.76
2022-11-15 11:10:32.4900,-1.02,0.83,-1.11,1.72
2022-11-15 11:10:32.5010,-0.92,0.99,-1.23,1.82
2022-11-15 11:10:32.5030,-0.62,1.14,-1.39,1.9
2022-11-15 11:10:32.5210,-0.64,1.27,-1.37,1.97
2022-11-15 11:10:32.5230,-0.57,1.38,-1.12,1.86
2022-11-15 11:10:32.5370,-0.28,1.39,-0.76,1.6
2022-11-15 11:10:32.5390,-0.05,1.39,-0.3,1.42
2022-11-15 11:10:32.5530,0.12,1.46,0.12,1.46
2022-11-15 11:10:32.5550,0.32,1.46,0.35,1.53
2022-11-15 11:10:32.5680,0.43,1.37,0.28,1.46
2022-11-15 11:10:32.5710,0.6,1.26,0.27,1.42
2022-11-15 11:10:32.5860,0.68,1.05,0.5,1.34
2022-11-15 11:10:32.5880,0.7,0.87,0.75,1.34
2022-11-15 11:10:32.6050,0.75,0.75,1.02,1.47
2022-11-15 11:10:32.6070,0.67,0.62,1.38,1.65
2022-11-15 11:10:32.6210,0.51,0.42,1.72,1.84
2022-11-15 11:10:32.6240,0.52,0.23,2.18,2.25
2022-11-15 11:10:32.6350,0.41,-0.14,2.76,2.79
2022-11-15 11:10:32.6380,0.2,-0.27,2.65,2.67
2022-11-15 11:10:32.6520,0.29,-0.07,2.16,2.18
2022-11-15 11:10:32.6550,0.51,0.2,1.71,1.79
2022-11-15 11:10:32.6680,0.86,0.47,1.35,1.66
2022-11-15 11:10:32.6700,1.49,0.73,1.49,2.23
2022-11-15 11:10:32.6880,2.03,0.84,2.24,3.13
2022-11-15 11:10:32.6900,1.98,0.44,3.15,3.74
2022-11-15 11:10:32.7030,1.57,-0.53,3.81,4.15
2022-11-15 11:10:32.7050,1.08,-1.61,3.94,4.39
2022-11-15 11:10:32.7200,0.53,-2.48,3.45,4.28
2022-11-15 11:10:32.7230,0.04,-3.02,2.54,3.94
2022-11-15 11:10:32.7360,-0.17,-3.15,1.29,3.4
2022-11-15 11:10:32.7390,-0.12,-2.86,-0.08,2.86
2022-11-15 11:10:32.7520,0.02,-2.37,-1.21,2.66
2022-11-15 11:10:32.7540,0.2,-1.59,-1.9,2.48
2022-11-15 11:10:32.7710,0.65,-0.85,-2.12,2.37
2022-11-15 11:10:32.7730,0.85,-0.54,-1.75,2.01
2022-11-15 11:10:32.7870,0.52,-0.35,-1.35,1.48
2022-11-15 11:10:32.7890,0.64,-0.16,-1.08,1.26
2022-11-15 11:10:32.8020,0.74,-0.06,-0.92,1.18
2022-11-15 11:10:32.8040,0.71,-0.03,-0.73,1.01
2022-11-15 11:10:32.8200,0.61,-0.14,-0.61,0.87
2022-11-15 11:10:32.8230,0.47,-0.35,-0.57,0.81
2022-11-15 11:10:32.8350,0.32,-0.6,-0.56,0.88
2022-11-15 11:10:32.8370,0.11,-0.87,-0.51,1.01
2022-11-15 11:10:32.8550,-0.21,-1.35,0.04,1.36
2022-11-15 11:10:32.8570,-0.48,-1.95,0.72,2.13
2022-11-15 11:10:32.8700,-0.8,-2.09,0.16,2.24
2022-11-15 11:10:32.8720,-0.55,-1.91,-0.03,1.98
