time,ax,ay,az,atotal
2022-11-11 12:35:21.3890,-0.14,-0.26,-0.15,0.33
2022-11-11 12:35:21.4140,0.15,-0.18,-0.15,0.27
2022-11-11 12:35:21.4160,0.28,0.02,-0.27,0.38
2022-11-11 12:35:21.4180,0.18,0.1,-0.34,0.39
2022-11-11 12:35:21.4280,0.11,0.08,-0.25,0.28
2022-11-11 12:35:21.4380,-0.03,0.03,-0.19,0.19
2022-11-11 12:35:21.4490,-0.09,-0.03,-0.09,0.13
2022-11-11 12:35:21.4580,-0.08,-0.08,0.07,0.13
2022-11-11 12:35:21.4690,-0.1,-0.03,0.16,0.19
2022-11-11 12:35:21.4790,-0.13,0.02,0.23,0.26
2022-11-11 12:35:21.4890,-0.1,0.04,0.34,0.35
2022-11-11 12:35:21.5140,-0.08,0.04,0.31,0.32
2022-11-11 12:35:21.5150,-0.09,0.01,0.21,0.22
2022-11-11 12:35:21.5180,-0.07,-0.01,0.11,0.13
2022-11-11 12:35:21.5280,-0.01,0.04,-0.03,0.05
2022-11-11 12:35:21.5380,0.03,0.07,-0.13,0.15
2022-11-11 12:35:21.5480,0.07,0.06,-0.18,0.2
2022-11-11 12:35:21.5580,0.13,0.01,-0.2,0.23
2022-11-11 12:35:21.5680,0.19,-0.05,-0.18,0.26
2022-11-11 12:35:21.5780,0.21,-0.08,-0.18,0.28
2022-11-11 12:35:21.5880,0.14,-0.12,-0.19,0.26
2022-11-11 12:35:21.6210,-0.05,-0.09,-0.09,0.13
2022-11-11 12:35:21.6220,-0.29,0.09,0.13,0.33
2022-11-11 12:35:21.6230,-0.36,0.2,0.27,0.49
2022-11-11 12:35:21.6270,-0.3,0.14,0.27,0.42
2022-11-11 12:35:21.6370,-0.17,-0.01,0.18,0.24
2022-11-11 12:35:21.6470,-0.06,-0.15,0.12,0.2
2022-11-11 12:35:21.6570,-0.07,-0.07,0.24,0.25
2022-11-11 12:35:21.6670,-0.26,0.17,0.32,0.44
2022-11-11 12:35:21.6770,-0.44,0.31,0.34,0.63
2022-11-11 12:35:21.6870,-0.38,0.23,0.26,0.51
2022-11-11 12:35:21.7200,-0.15,-0.01,0.11,0.18
2022-11-11 12:35:21.7210,0.06,-0.19,-0.04,0.2
2022-11-11 12:35:21.7230,0.09,-0.13,0.02,0.15
2022-11-11 12:35:21.7260,-0.11,0.1,0.37,0.39
2022-11-11 12:35:21.7370,-0.37,0.28,0.42,0.62
2022-11-11 12:35:21.7470,-0.42,0.15,0.26,0.51
2022-11-11 12:35:21.7560,-0.03,-0.09,0.15,0.17
2022-11-11 12:35:21.7670,0.31,-0.21,0.01,0.37
2022-11-11 12:35:21.7770,0.45,-0.12,-0.11,0.47
2022-11-11 12:35:21.7870,0.5,-0.04,-0.08,0.5
2022-11-11 12:35:21.8190,0.47,-0.07,-0.02,0.47
2022-11-11 12:35:21.8210,0.35,-0.17,0.01,0.38
2022-11-11 12:35:21.8220,0.28,-0.2,0.11,0.36
2022-11-11 12:35:21.8260,0.14,-0.1,0.16,0.23
2022-11-11 12:35:21.8360,-0.05,-0.01,0.22,0.22
2022-11-11 12:35:21.8460,-0.17,0.01,0.25,0.3
2022-11-11 12:35:21.8560,-0.1,-0.01,0.25,0.26
2022-11-11 12:35:21.8660,0.11,-0.01,0.02,0.11
2022-11-11 12:35:21.8760,0.29,0.0,-0.2,0.35
2022-11-11 12:35:21.8860,0.32,-0.02,-0.15,0.35
2022-11-11 12:35:21.9180,0.18,-0.07,0.05,0.19
2022-11-11 12:35:21.9190,0.08,-0.17,0.24,0.3
2022-11-11 12:35:21.9210,-0.02,-0.24,0.33,0.4
2022-11-11 12:35:21.9250,-0.13,-0.22,0.2,0.32
2022-11-11 12:35:21.9420,-0.07,-0.13,0.41,0.43
