time,ax,ay,az,atotal
2022-11-11 9:33:10.3960,0.19,-0.09,-0.3,0.36
2022-11-11 9:33:10.3970,0.17,-0.17,-0.3,0.38
2022-11-11 9:33:10.4160,0.17,-0.25,-0.28,0.41
2022-11-11 9:33:10.4170,0.14,-0.25,-0.18,0.33
2022-11-11 9:33:10.4460,0.09,-0.17,-0.08,0.2
2022-11-11 9:33:10.4470,0.03,-0.05,-0.06,0.08
2022-11-11 9:33:10.4620,-0.02,0.06,-0.06,0.08
2022-11-11 9:33:10.4620,-0.07,0.12,-0.05,0.14
2022-11-11 9:33:10.4790,-0.13,0.18,-0.06,0.23
2022-11-11 9:33:10.4800,-0.15,0.18,-0.07,0.24
2022-11-11 9:33:10.4950,-0.16,0.15,-0.05,0.22
2022-11-11 9:33:10.4960,-0.19,0.06,-0.03,0.2
2022-11-11 9:33:10.5120,-0.19,-0.1,-0.01,0.21
2022-11-11 9:33:10.5130,-0.14,-0.19,0.08,0.24
2022-11-11 9:33:10.5420,-0.09,-0.19,0.17,0.27
2022-11-11 9:33:10.5420,-0.03,-0.15,0.16,0.22
2022-11-11 9:33:10.5630,0.02,-0.06,0.15,0.16
2022-11-11 9:33:10.5640,0.03,0.04,0.15,0.15
2022-11-11 9:33:10.5800,0.03,0.09,0.13,0.16
2022-11-11 9:33:10.5800,0.01,0.11,0.04,0.11
2022-11-11 9:33:10.5950,0.02,0.12,-0.03,0.12
2022-11-11 9:33:10.5960,-0.02,0.15,-0.05,0.15
2022-11-11 9:33:10.6120,-0.05,0.19,-0.05,0.2
2022-11-11 9:33:10.6130,-0.05,0.12,-0.12,0.17
2022-11-11 9:33:10.6430,-0.06,-0.03,-0.15,0.16
2022-11-11 9:33:10.6440,-0.05,-0.15,-0.08,0.17
2022-11-11 9:33:10.6640,0.03,-0.2,-0.04,0.2
2022-11-11 9:33:10.6650,0.12,-0.2,-0.03,0.23
2022-11-11 9:33:10.6790,0.17,-0.15,-0.03,0.22
2022-11-11 9:33:10.6800,0.15,-0.07,-0.07,0.17
2022-11-11 9:33:10.6950,0.13,0.05,-0.09,0.16
2022-11-11 9:33:10.6960,0.14,0.14,-0.07,0.21
2022-11-11 9:33:10.7120,0.08,0.16,-0.09,0.2
2022-11-11 9:33:10.7130,0.01,0.13,-0.11,0.17
2022-11-11 9:33:10.7430,-0.02,0.1,-0.11,0.15
2022-11-11 9:33:10.7440,-0.07,0.12,-0.03,0.14
2022-11-11 9:33:10.7640,-0.16,0.14,-0.01,0.21
2022-11-11 9:33:10.7650,-0.27,0.12,0.11,0.31
2022-11-11 9:33:10.7790,-0.32,0.09,0.2,0.38
2022-11-11 9:33:10.7800,-0.29,0.07,0.22,0.37
2022-11-11 9:33:10.7950,-0.11,0.04,0.22,0.24
2022-11-11 9:33:10.7960,0.0,0.0,0.15,0.15
2022-11-11 9:33:10.8120,0.05,-0.02,0.07,0.08
2022-11-11 9:33:10.8130,0.09,0.0,0.04,0.09
2022-11-11 9:33:10.8430,0.12,0.03,-0.01,0.12
2022-11-11 9:33:10.8440,0.15,-0.01,-0.1,0.18
2022-11-11 9:33:10.8640,0.17,-0.08,-0.17,0.25
2022-11-11 9:33:10.8640,0.18,-0.16,-0.17,0.29
2022-11-11 9:33:10.8790,0.14,-0.2,-0.14,0.28
2022-11-11 9:33:10.8800,0.12,-0.2,-0.08,0.24
2022-11-11 9:33:10.8950,0.03,-0.22,-0.02,0.22
2022-11-11 9:33:10.8960,0.02,-0.2,0.08,0.21
2022-11-11 9:33:10.9120,-0.01,-0.15,0.12,0.19
2022-11-11 9:33:10.9130,-0.04,-0.09,0.18,0.2
2022-11-11 9:33:10.9430,-0.07,-0.01,0.25,0.25
2022-11-11 9:33:10.9440,-0.11,0.06,0.25,0.27
2022-11-11 9:33:10.9640,-0.12,0.1,0.18,0.23
2022-11-11 9:33:10.9640,-0.1,0.11,0.06,0.16
2022-11-11 9:33:10.9790,-0.07,0.08,-0.08,0.13
2022-11-11 9:33:10.9800,-0.03,0.02,-0.24,0.24
2022-11-11 9:33:10.9950,-0.05,-0.04,-0.29,0.29
2022-11-11 9:33:10.9960,-0.07,-0.05,-0.24,0.25
2022-11-11 9:33:11.0120,-0.08,0.0,-0.15,0.17
2022-11-11 9:33:11.0130,-0.13,0.06,-0.08,0.16
2022-11-11 9:33:11.0440,-0.17,0.12,0.01,0.2
2022-11-11 9:33:11.0440,-0.17,0.14,0.07,0.23
2022-11-11 9:33:11.0640,-0.13,0.1,0.07,0.17
2022-11-11 9:33:11.0650,-0.11,0.01,0.05,0.12
2022-11-11 9:33:11.0790,-0.07,-0.09,-0.05,0.12
2022-11-11 9:33:11.0800,0.02,-0.15,-0.17,0.22
2022-11-11 9:33:11.0950,0.07,-0.13,-0.23,0.27
2022-11-11 9:33:11.0960,0.08,-0.05,-0.23,0.24
2022-11-11 9:33:11.1110,0.09,0.08,-0.12,0.17
2022-11-11 9:33:11.1120,0.09,0.19,0.04,0.21
2022-11-11 9:33:11.1430,0.02,0.22,0.16,0.27
2022-11-11 9:33:11.1430,-0.03,0.2,0.19,0.27
2022-11-11 9:33:11.1620,-0.07,0.17,0.23,0.29
2022-11-11 9:33:11.1630,-0.14,0.1,0.29,0.33
2022-11-11 9:33:11.1790,-0.16,-0.01,0.36,0.39
2022-11-11 9:33:11.1800,-0.12,-0.09,0.4,0.42
2022-11-11 9:33:11.1950,-0.07,-0.16,0.45,0.48
2022-11-11 9:33:11.1960,-0.02,-0.22,0.44,0.49
2022-11-11 9:33:11.2120,0.04,-0.25,0.35,0.43
2022-11-11 9:33:11.2130,0.09,-0.28,0.22,0.36
2022-11-11 9:33:11.2440,0.15,-0.31,0.05,0.34
2022-11-11 9:33:11.2440,0.2,-0.31,-0.1,0.38
2022-11-11 9:33:11.2640,0.22,-0.28,-0.21,0.41
2022-11-11 9:33:11.2650,0.26,-0.23,-0.34,0.48
2022-11-11 9:33:11.2790,0.29,-0.2,-0.43,0.55
2022-11-11 9:33:11.2800,0.28,-0.18,-0.44,0.55
2022-11-11 9:33:11.2950,0.25,-0.17,-0.37,0.47
2022-11-11 9:33:11.2960,0.21,-0.13,-0.27,0.36
2022-11-11 9:33:11.3120,0.15,-0.1,-0.18,0.25
2022-11-11 9:33:11.3130,0.09,-0.04,-0.11,0.14
2022-11-11 9:33:11.3430,0.07,0.06,-0.03,0.09
2022-11-11 9:33:11.3440,0.02,0.15,-0.01,0.15
2022-11-11 9:33:11.3640,0.01,0.19,0.0,0.19
2022-11-11 9:33:11.3640,-0.01,0.18,0.03,0.18
2022-11-11 9:33:11.3790,-0.03,0.14,0.08,0.16
2022-11-11 9:33:11.3800,-0.06,0.11,0.14,0.18
2022-11-11 9:33:11.3950,-0.06,0.05,0.15,0.16
2022-11-11 9:33:11.3960,-0.09,0.0,0.12,0.15
2022-11-11 9:33:11.4120,-0.12,-0.05,0.12,0.17
2022-11-11 9:33:11.4130,-0.13,-0.03,0.13,0.18
2022-11-11 9:33:11.4430,-0.17,-0.02,0.11,0.2
2022-11-11 9:33:11.4440,-0.18,0.0,0.13,0.22
2022-11-11 9:33:11.4630,-0.21,0.04,0.15,0.26
2022-11-11 9:33:11.4640,-0.24,0.06,0.09,0.26
2022-11-11 9:33:11.4790,-0.25,0.08,0.03,0.26
2022-11-11 9:33:11.4800,-0.23,0.12,-0.01,0.25
2022-11-11 9:33:11.4950,-0.17,0.13,-0.08,0.22
2022-11-11 9:33:11.4960,-0.12,0.11,-0.13,0.2
2022-11-11 9:33:11.5120,-0.08,0.07,-0.11,0.15
2022-11-11 9:33:11.5130,-0.04,0.06,-0.04,0.08
2022-11-11 9:33:11.5440,-0.01,0.07,0.02,0.07
2022-11-11 9:33:11.5440,0.0,0.1,0.02,0.1
2022-11-11 9:33:11.5640,0.01,0.08,-0.01,0.08
2022-11-11 9:33:11.5640,0.04,0.04,-0.06,0.08
2022-11-11 9:33:11.5790,0.06,-0.01,-0.08,0.1
2022-11-11 9:33:11.5800,0.05,-0.03,-0.04,0.07
2022-11-11 9:33:11.5950,0.03,-0.02,0.04,0.05
2022-11-11 9:33:11.5960,0.0,0.04,0.09,0.09
2022-11-11 9:33:11.6120,0.0,0.09,0.09,0.12
2022-11-11 9:33:11.6120,0.03,0.09,0.02,0.09
2022-11-11 9:33:11.6420,0.04,0.05,-0.04,0.07
2022-11-11 9:33:11.6430,0.01,0.03,-0.11,0.11
2022-11-11 9:33:11.6640,-0.01,0.0,-0.16,0.16
2022-11-11 9:33:11.6650,0.01,-0.04,-0.17,0.17
2022-11-11 9:33:11.6790,0.03,-0.08,-0.1,0.13
2022-11-11 9:33:11.6800,0.02,-0.1,-0.05,0.11
2022-11-11 9:33:11.6950,0.0,-0.15,-0.04,0.15
2022-11-11 9:33:11.6960,-0.02,-0.26,0.0,0.26
2022-11-11 9:33:11.7120,-0.02,-0.38,0.02,0.38
2022-11-11 9:33:11.7130,-0.07,-0.36,0.0,0.36
2022-11-11 9:33:11.7430,-0.04,-0.25,-0.02,0.25
2022-11-11 9:33:11.7430,0.06,-0.1,-0.06,0.13
2022-11-11 9:33:11.7640,0.05,0.01,-0.07,0.08
2022-11-11 9:33:11.7650,0.02,0.07,-0.11,0.13
2022-11-11 9:33:11.7790,0.04,0.1,-0.21,0.23
2022-11-11 9:33:11.7800,0.04,0.22,-0.21,0.3
2022-11-11 9:33:11.7950,-0.01,0.31,-0.03,0.31
2022-11-11 9:33:11.7960,-0.09,0.33,0.11,0.35
2022-11-11 9:33:11.8120,-0.11,0.29,0.17,0.35
2022-11-11 9:33:11.8130,-0.11,0.18,0.11,0.23
2022-11-11 9:33:11.8420,-0.14,0.16,0.09,0.23
2022-11-11 9:33:11.8430,-0.19,0.14,0.02,0.23
