time,ax,ay,az,atotal
2022-11-15 21:20:43.1720,0.45,-0.16,1.32,1.4
2022-11-15 21:20:43.1730,0.96,-0.07,1.39,1.69
2022-11-15 21:20:43.1910,1.31,0.08,1.4,1.91
2022-11-15 21:20:43.1920,1.45,0.25,1.22,1.91
2022-11-15 21:20:43.2050,1.33,0.3,0.55,1.47
2022-11-15 21:20:43.2060,0.97,-0.18,-0.45,1.08
2022-11-15 21:20:43.2610,0.67,-1.29,-1.15,1.85
2022-11-15 21:20:43.2610,0.74,-2.44,-1.49,2.95
2022-11-15 21:20:43.2710,0.26,-3.29,-1.38,3.57
2022-11-15 21:20:43.2710,-0.6,-3.52,-0.96,3.69
2022-11-15 21:20:43.2870,-1.22,-3.45,-0.6,3.7
2022-11-15 21:20:43.2880,-1.49,-3.58,-0.42,3.9
2022-11-15 21:20:43.3040,-1.27,-3.74,-0.39,3.96
2022-11-15 21:20:43.3040,-0.8,-3.86,-0.31,3.95
2022-11-15 21:20:43.3200,-0.38,-4.05,-0.45,4.09
2022-11-15 21:20:43.3210,-0.02,-4.16,-0.96,4.26
2022-11-15 21:20:43.3760,0.12,-3.98,-1.35,4.2
2022-11-15 21:20:43.3770,0.16,-3.5,-1.5,3.81
2022-11-15 21:20:43.3870,0.23,-2.68,-1.65,3.15
2022-11-15 21:20:43.3880,0.28,-1.72,-1.84,2.53
2022-11-15 21:20:43.4040,0.34,-0.79,-2.01,2.18
2022-11-15 21:20:43.4050,0.42,-0.03,-2.13,2.17
2022-11-15 21:20:43.4200,0.42,0.59,-2.06,2.18
2022-11-15 21:20:43.4210,0.2,1.01,-1.85,2.11
2022-11-15 21:20:43.4370,-0.26,1.16,-1.65,2.03
2022-11-15 21:20:43.4380,-0.72,1.25,-1.41,2.01
2022-11-15 21:20:43.4930,-1.14,1.25,-1.01,1.97
2022-11-15 21:20:43.4940,-1.68,0.85,-0.81,2.04
2022-11-15 21:20:43.5050,-2.02,0.66,-0.66,2.22
2022-11-15 21:20:43.5050,-2.24,0.59,-0.5,2.36
2022-11-15 21:20:43.5210,-2.44,0.75,-0.38,2.58
2022-11-15 21:20:43.5220,-2.51,0.63,-0.28,2.6
2022-11-15 21:20:43.5370,-2.25,0.28,-0.36,2.29
2022-11-15 21:20:43.5370,-1.89,0.56,-0.32,1.99
2022-11-15 21:20:43.5530,-1.89,0.55,-0.23,1.98
2022-11-15 21:20:43.5540,-1.76,0.64,-0.53,1.94
2022-11-15 21:20:43.6090,-1.31,0.95,-1.09,1.95
2022-11-15 21:20:43.6090,-0.95,1.26,-1.1,1.92
2022-11-15 21:20:43.6210,-0.92,1.55,-0.83,1.98
2022-11-15 21:20:43.6220,-1.17,1.87,-0.69,2.31
2022-11-15 21:20:43.6380,-1.32,2.19,-0.76,2.66
2022-11-15 21:20:43.6380,-1.28,2.37,-0.72,2.78
2022-11-15 21:20:43.6540,-1.13,2.43,-0.45,2.71
2022-11-15 21:20:43.6540,-0.94,2.35,-0.22,2.54
2022-11-15 21:20:43.6700,-0.76,2.22,0.03,2.34
2022-11-15 21:20:43.6710,-0.68,2.12,0.31,2.24
2022-11-15 21:20:43.7260,-0.62,2.09,0.5,2.23
2022-11-15 21:20:43.7270,-0.49,2.06,0.53,2.18
2022-11-15 21:20:43.7380,-0.43,1.97,0.56,2.09
2022-11-15 21:20:43.7390,-0.45,1.84,0.54,1.96
2022-11-15 21:20:43.7540,-0.36,1.72,0.49,1.82
2022-11-15 21:20:43.7550,-0.28,1.59,0.46,1.67
2022-11-15 21:20:43.7700,-0.24,1.4,0.5,1.5
2022-11-15 21:20:43.7710,-0.1,1.24,0.58,1.37
2022-11-15 21:20:43.7870,0.03,1.05,0.65,1.23
2022-11-15 21:20:43.7870,0.13,0.86,0.74,1.14
2022-11-15 21:20:43.8430,0.14,0.72,0.9,1.16
2022-11-15 21:20:43.8440,0.17,0.63,1.09,1.27
2022-11-15 21:20:43.8550,0.33,0.61,1.36,1.52
2022-11-15 21:20:43.8550,0.47,0.58,1.74,1.89
2022-11-15 21:20:43.8710,0.56,0.4,2.14,2.24
2022-11-15 21:20:43.8720,0.69,0.11,2.48,2.57
2022-11-15 21:20:43.8870,0.89,-0.19,2.62,2.77
2022-11-15 21:20:43.8880,1.11,-0.45,2.57,2.83
2022-11-15 21:20:43.9030,1.38,-0.65,2.44,2.87
2022-11-15 21:20:43.9040,1.67,-0.82,2.39,3.02
2022-11-15 21:20:43.9590,1.92,-0.91,2.31,3.13
2022-11-15 21:20:43.9600,1.89,-0.82,2.17,2.99
2022-11-15 21:20:43.9720,1.53,-0.61,1.91,2.52
2022-11-15 21:20:43.9720,1.19,-0.26,1.68,2.07
2022-11-15 21:20:43.9870,1.0,0.08,1.71,1.98
2022-11-15 21:20:43.9880,0.57,-0.08,2.21,2.28
2022-11-15 21:20:44.0030,-0.57,-1.33,2.83,3.17
2022-11-15 21:20:44.0040,-1.25,-3.29,2.65,4.4
2022-11-15 21:20:44.0200,-0.04,-4.44,1.28,4.62
2022-11-15 21:20:44.0210,1.77,-4.37,-0.08,4.71
2022-11-15 21:20:44.0760,2.03,-4.33,-0.34,4.79
2022-11-15 21:20:44.0770,0.95,-4.92,-0.26,5.01
2022-11-15 21:20:44.0880,0.02,-5.23,-0.84,5.29
2022-11-15 21:20:44.0890,-0.41,-4.35,-1.56,4.63
2022-11-15 21:20:44.1040,-0.92,-2.29,-1.46,2.86
2022-11-15 21:20:44.1050,-1.89,-0.22,-0.8,2.06
2022-11-15 21:20:44.1200,-3.19,0.83,-0.35,3.31
2022-11-15 21:20:44.1210,-4.35,1.15,-0.38,4.51
2022-11-15 21:20:44.1370,-4.97,1.19,-0.53,5.13
2022-11-15 21:20:44.1380,-4.96,1.24,-0.55,5.14
2022-11-15 21:20:44.1930,-4.56,1.22,-0.48,4.74
2022-11-15 21:20:44.1930,-4.04,1.14,-0.37,4.21
2022-11-15 21:20:44.2050,-3.49,1.08,-0.29,3.66
2022-11-15 21:20:44.2060,-2.93,1.24,-0.3,3.19
2022-11-15 21:20:44.2210,-2.43,1.65,-0.38,2.96
2022-11-15 21:20:44.2210,-2.06,2.1,-0.43,2.97
2022-11-15 21:20:44.2370,-1.75,2.39,-0.54,3.01
2022-11-15 21:20:44.2370,-1.47,2.46,-0.7,2.95
2022-11-15 21:20:44.2530,-1.08,2.29,-0.95,2.7
2022-11-15 21:20:44.2540,-0.6,1.9,-1.13,2.29
2022-11-15 21:20:44.3090,-0.28,1.28,-1.27,1.82
2022-11-15 21:20:44.3100,-0.01,0.55,-1.48,1.57
2022-11-15 21:20:44.3210,0.12,-0.25,-1.51,1.53
2022-11-15 21:20:44.3220,-0.02,-0.98,-1.45,1.75
2022-11-15 21:20:44.3370,-0.21,-1.47,-1.62,2.19
2022-11-15 21:20:44.3380,-0.48,-1.7,-1.73,2.47
2022-11-15 21:20:44.3530,-1.08,-1.77,-1.51,2.56
2022-11-15 21:20:44.3540,-1.6,-1.66,-1.12,2.56
2022-11-15 21:20:44.3700,-1.81,-1.34,-0.88,2.41
2022-11-15 21:20:44.3710,-1.89,-0.96,-0.69,2.22
2022-11-15 21:20:44.4260,-1.84,-0.53,-0.53,1.98
2022-11-15 21:20:44.4270,-1.81,-0.1,-0.19,1.82
2022-11-15 21:20:44.4380,-1.6,0.3,0.09,1.63
2022-11-15 21:20:44.4390,-1.18,0.63,0.25,1.36
2022-11-15 21:20:44.4540,-0.7,0.82,0.39,1.14
2022-11-15 21:20:44.4550,-0.32,0.81,0.56,1.03
2022-11-15 21:20:44.4700,0.03,0.7,0.68,0.97
2022-11-15 21:20:44.4710,0.37,0.69,0.71,1.05
2022-11-15 21:20:44.4860,0.61,0.77,0.77,1.24
2022-11-15 21:20:44.4870,0.69,0.68,0.68,1.18
2022-11-15 21:20:44.5430,0.66,0.52,0.61,1.03
2022-11-15 21:20:44.5440,0.57,0.49,0.63,0.98
2022-11-15 21:20:44.5550,0.36,0.49,0.67,0.9
2022-11-15 21:20:44.5550,0.19,0.38,0.77,0.87
2022-11-15 21:20:44.5710,0.02,0.33,0.78,0.84
2022-11-15 21:20:44.5710,-0.19,0.1,0.73,0.76
2022-11-15 21:20:44.5860,-0.38,-0.31,0.7,0.85
2022-11-15 21:20:44.5870,-0.55,-0.57,0.85,1.16
2022-11-15 21:20:44.6030,-0.83,-0.69,1.09,1.53
2022-11-15 21:20:44.6040,-1.07,-0.66,1.21,1.74
2022-11-15 21:20:44.6590,-1.18,-0.53,1.31,1.84
2022-11-15 21:20:44.6600,-1.11,-0.57,1.61,2.03
2022-11-15 21:20:44.6710,-0.75,-0.5,1.34,1.61
2022-11-15 21:20:44.6720,-0.22,-0.31,1.12,1.18
2022-11-15 21:20:44.6870,0.29,-0.13,1.28,1.31
2022-11-15 21:20:44.6880,0.7,-0.1,1.53,1.68
2022-11-15 21:20:44.7030,1.06,-0.17,1.71,2.01
2022-11-15 21:20:44.7040,1.43,-0.18,1.79,2.29
2022-11-15 21:20:44.7200,1.7,-0.17,1.87,2.53
2022-11-15 21:20:44.7210,1.83,-0.14,1.89,2.63
2022-11-15 21:20:44.7770,1.86,-0.19,1.91,2.67
2022-11-15 21:20:44.7770,1.78,-0.39,1.64,2.45
2022-11-15 21:20:44.7880,1.65,-0.85,0.6,1.95
2022-11-15 21:20:44.7890,1.66,-1.95,-0.4,2.59
2022-11-15 21:20:44.8040,1.88,-3.33,-1.11,3.98
2022-11-15 21:20:44.8050,1.53,-4.46,-1.18,4.86
2022-11-15 21:20:44.8200,0.4,-5.17,-0.45,5.2
2022-11-15 21:20:44.8210,-0.61,-5.01,0.17,5.04
2022-11-15 21:20:44.8370,-1.31,-4.19,0.21,4.39
2022-11-15 21:20:44.8380,-1.69,-3.28,-0.19,3.69
2022-11-15 21:20:44.8940,-1.6,-2.83,-0.78,3.34
2022-11-15 21:20:44.8950,-1.13,-2.73,-1.28,3.21
2022-11-15 21:20:44.9040,-0.75,-2.42,-1.6,2.99
2022-11-15 21:20:44.9050,-0.66,-1.85,-1.81,2.67
2022-11-15 21:20:44.9210,-0.8,-1.07,-1.89,2.31
2022-11-15 21:20:44.9210,-0.77,0.04,-1.7,1.86
2022-11-15 21:20:44.9370,-0.65,0.78,-1.44,1.76
2022-11-15 21:20:44.9370,-0.62,1.11,-1.23,1.76
2022-11-15 21:20:44.9530,-0.63,1.15,-1.04,1.67
2022-11-15 21:20:44.9540,-0.65,0.93,-0.82,1.39
2022-11-15 21:20:45.0110,-0.72,0.61,-0.55,1.09
2022-11-15 21:20:45.0120,-0.8,0.34,-0.33,0.92
2022-11-15 21:20:45.0210,-0.71,0.15,-0.28,0.77
2022-11-15 21:20:45.0220,-0.41,0.0,-0.42,0.58
2022-11-15 21:20:45.0370,0.05,0.03,-0.76,0.76
2022-11-15 21:20:45.0380,0.63,0.34,-1.18,1.38
2022-11-15 21:20:45.0530,1.15,0.47,-1.24,1.75
2022-11-15 21:20:45.0540,1.29,0.45,-1.04,1.71
2022-11-15 21:20:45.0700,1.01,0.58,-0.88,1.45
2022-11-15 21:20:45.0710,0.74,0.87,-0.98,1.5
2022-11-15 21:20:45.1270,0.52,1.18,-1.04,1.65
2022-11-15 21:20:45.1280,0.17,1.37,-1.0,1.7
2022-11-15 21:20:45.1380,-0.25,1.56,-0.97,1.85
2022-11-15 21:20:45.1390,-0.55,1.86,-0.9,2.13
2022-11-15 21:20:45.1540,-0.74,2.13,-0.65,2.34
2022-11-15 21:20:45.1550,-0.83,2.35,-0.35,2.51
2022-11-15 21:20:45.1700,-0.73,2.57,-0.11,2.67
2022-11-15 21:20:45.1710,-0.58,2.72,0.16,2.78
2022-11-15 21:20:45.1860,-0.64,2.81,0.43,2.91
2022-11-15 21:20:45.1870,-0.77,2.78,0.66,2.95
2022-11-15 21:20:45.2430,-0.74,2.64,0.78,2.85
2022-11-15 21:20:45.2440,-0.67,2.47,0.93,2.72
2022-11-15 21:20:45.2540,-0.61,2.17,1.07,2.49
2022-11-15 21:20:45.2550,-0.4,1.77,1.1,2.12
2022-11-15 21:20:45.2710,-0.16,1.31,1.18,1.77
2022-11-15 21:20:45.2720,0.04,0.79,1.32,1.53
2022-11-15 21:20:45.2870,0.26,0.33,1.44,1.5
2022-11-15 21:20:45.2880,0.45,0.02,1.49,1.55
2022-11-15 21:20:45.3030,0.62,-0.15,1.52,1.64
2022-11-15 21:20:45.3040,0.78,-0.13,1.48,1.67
2022-11-15 21:20:45.3600,0.92,0.11,1.26,1.56
2022-11-15 21:20:45.3610,0.97,0.42,1.04,1.48
2022-11-15 21:20:45.3710,0.97,0.8,0.94,1.56
2022-11-15 21:20:45.3720,0.94,1.19,0.97,1.8
2022-11-15 21:20:45.3870,0.96,1.47,1.07,2.05
2022-11-15 21:20:45.3880,0.97,1.56,1.25,2.22
2022-11-15 21:20:45.4030,0.89,1.48,1.48,2.27
2022-11-15 21:20:45.4040,0.87,1.33,1.56,2.22
2022-11-15 21:20:45.4200,0.96,1.11,1.5,2.09
2022-11-15 21:20:45.4210,1.1,0.98,1.3,1.96
2022-11-15 21:20:45.4770,1.23,0.94,1.07,1.88
2022-11-15 21:20:45.4780,1.35,1.04,1.0,1.97
2022-11-15 21:20:45.4880,1.5,1.25,1.12,2.25
2022-11-15 21:20:45.4890,1.62,1.56,1.33,2.61
2022-11-15 21:20:45.5040,1.63,1.84,1.58,2.92
2022-11-15 21:20:45.5050,1.5,1.91,1.98,3.13
2022-11-15 21:20:45.5200,0.68,1.11,2.55,2.86
2022-11-15 21:20:45.5210,-0.39,-1.11,2.22,2.51
2022-11-15 21:20:45.5360,-0.11,-4.13,0.12,4.13
2022-11-15 21:20:45.5370,1.33,-7.0,-1.7,7.32
2022-11-15 21:20:45.5940,2.56,-9.02,-1.26,9.46
2022-11-15 21:20:45.5950,2.01,-10.03,0.2,10.23
2022-11-15 21:20:45.6050,0.52,-9.57,-0.31,9.58
2022-11-15 21:20:45.6050,-0.85,-6.57,-1.51,6.79
2022-11-15 21:20:45.6210,-2.24,-3.18,-1.66,4.22
2022-11-15 21:20:45.6220,-3.65,-1.0,-1.27,3.99
2022-11-15 21:20:45.6370,-4.49,0.23,-1.16,4.64
2022-11-15 21:20:45.6370,-4.5,1.17,-1.39,4.85
2022-11-15 21:20:45.6530,-4.05,1.95,-1.56,4.75
2022-11-15 21:20:45.6540,-3.49,2.43,-1.64,4.55
2022-11-15 21:20:45.7100,-3.01,2.56,-1.61,4.26
2022-11-15 21:20:45.7110,-2.6,2.46,-1.57,3.9
2022-11-15 21:20:45.7210,-2.21,2.24,-1.51,3.49
2022-11-15 21:20:45.7220,-1.76,2.06,-1.25,2.98
2022-11-15 21:20:45.7380,-1.21,1.97,-0.74,2.42
2022-11-15 21:20:45.7380,-0.75,1.83,-0.38,2.01
2022-11-15 21:20:45.7530,-0.54,1.74,-0.31,1.84
2022-11-15 21:20:45.7540,-0.39,1.78,-0.61,1.92
2022-11-15 21:20:45.7700,-0.35,1.7,-0.89,1.95
2022-11-15 21:20:45.7710,-0.33,1.4,-1.33,1.95
2022-11-15 21:20:45.8270,-0.38,0.91,-1.64,1.91
2022-11-15 21:20:45.8280,-0.36,0.46,-1.79,1.88
2022-11-15 21:20:45.8380,-0.32,0.12,-1.74,1.77
2022-11-15 21:20:45.8380,-0.41,-0.29,-1.64,1.71
2022-11-15 21:20:45.8540,-0.56,-0.64,-1.61,1.82
2022-11-15 21:20:45.8550,-0.83,-0.9,-1.28,1.77
2022-11-15 21:20:45.8700,-0.88,-0.76,-0.96,1.5
2022-11-15 21:20:45.8700,-0.79,-0.36,-0.74,1.14
2022-11-15 21:20:45.8860,-0.75,-0.01,-0.52,0.91
2022-11-15 21:20:45.8870,-0.74,0.28,-0.41,0.89
2022-11-15 21:20:45.9430,-0.62,0.48,-0.35,0.85
2022-11-15 21:20:45.9440,-0.53,0.6,-0.22,0.83
2022-11-15 21:20:45.9540,-0.28,0.65,-0.09,0.71
2022-11-15 21:20:45.9550,0.03,0.66,0.08,0.66
2022-11-15 21:20:45.9710,0.14,0.58,0.34,0.68
2022-11-15 21:20:45.9710,0.3,0.51,0.62,0.85
2022-11-15 21:20:45.9860,0.4,0.45,0.87,1.05
2022-11-15 21:20:45.9870,0.46,0.23,1.02,1.14
2022-11-15 21:20:46.0030,0.59,0.04,1.02,1.17
2022-11-15 21:20:46.0040,0.67,-0.1,0.88,1.11
2022-11-15 21:20:46.0610,0.67,-0.23,0.71,1.0
2022-11-15 21:20:46.0620,0.66,-0.26,0.49,0.86
2022-11-15 21:20:46.0710,0.6,-0.18,0.33,0.7
2022-11-15 21:20:46.0720,0.44,-0.02,0.56,0.71
2022-11-15 21:20:46.0870,0.31,0.03,1.19,1.23
2022-11-15 21:20:46.0880,0.18,-0.06,1.09,1.1
2022-11-15 21:20:46.1030,-0.09,0.01,0.73,0.73
2022-11-15 21:20:46.1040,-0.46,0.16,0.59,0.76
2022-11-15 21:20:46.1200,-0.77,0.3,0.46,0.94
2022-11-15 21:20:46.1210,-0.9,0.36,0.4,1.04
2022-11-15 21:20:46.1770,-0.8,0.37,0.45,0.98
2022-11-15 21:20:46.1780,-0.46,0.33,0.55,0.78
2022-11-15 21:20:46.1880,-0.06,0.12,0.77,0.78
2022-11-15 21:20:46.1880,0.3,-0.19,1.04,1.09
2022-11-15 21:20:46.2040,0.63,-0.36,1.23,1.42
2022-11-15 21:20:46.2050,0.91,-0.42,1.34,1.67
2022-11-15 21:20:46.2200,1.1,-0.57,0.95,1.56
2022-11-15 21:20:46.2200,1.19,-1.16,0.19,1.67
2022-11-15 21:20:46.2370,1.4,-2.35,-0.3,2.75
2022-11-15 21:20:46.2380,1.81,-3.14,-0.98,3.75
2022-11-15 21:20:46.2940,1.56,-3.48,-1.42,4.06
2022-11-15 21:20:46.2950,0.72,-3.61,-1.38,3.93
2022-11-15 21:20:46.3040,0.3,-3.3,-1.0,3.46
2022-11-15 21:20:46.3050,0.07,-2.95,-0.51,2.99
2022-11-15 21:20:46.3210,0.05,-2.7,-0.23,2.71
2022-11-15 21:20:46.3210,0.23,-2.63,-0.19,2.64
2022-11-15 21:20:46.3360,0.42,-2.86,-0.3,2.9
2022-11-15 21:20:46.3370,0.59,-3.12,-0.5,3.21
2022-11-15 21:20:46.3530,0.72,-3.05,-0.74,3.22
2022-11-15 21:20:46.3540,0.65,-2.6,-0.95,2.84
2022-11-15 21:20:46.4100,0.38,-1.74,-0.93,2.0
2022-11-15 21:20:46.4110,0.04,-0.88,-1.08,1.39
2022-11-15 21:20:46.4210,-0.18,-0.06,-1.4,1.41
2022-11-15 21:20:46.4220,-0.27,0.58,-1.65,1.76
2022-11-15 21:20:46.4370,-0.26,1.17,-1.6,1.99
2022-11-15 21:20:46.4380,-0.26,1.65,-1.3,2.11
2022-11-15 21:20:46.4530,-0.37,1.79,-0.9,2.03
2022-11-15 21:20:46.4540,-0.68,1.52,-0.44,1.72
2022-11-15 21:20:46.4700,-1.04,1.09,-0.09,1.5
2022-11-15 21:20:46.4710,-1.15,0.84,0.15,1.43
2022-11-15 21:20:46.5290,-1.05,0.65,0.39,1.29
2022-11-15 21:20:46.5300,-0.87,0.39,0.43,1.04
2022-11-15 21:20:46.5370,-0.71,0.23,0.27,0.79
2022-11-15 21:20:46.5380,-0.58,-0.03,0.03,0.58
2022-11-15 21:20:46.5540,-0.37,-0.35,-0.22,0.55
2022-11-15 21:20:46.5550,-0.18,-0.4,-0.45,0.62
