time,ax,ay,az,atotal
2022-11-13 14:8:54.8690,-5.78,-1.32,-0.34,5.93
2022-11-13 14:8:54.8700,-5.87,-1.12,-0.38,5.98
2022-11-13 14:8:54.8860,-5.81,-0.99,-0.33,5.9
2022-11-13 14:8:54.8870,-5.66,-0.95,-0.07,5.73
2022-11-13 14:8:54.9020,-5.4,-0.92,0.37,5.49
2022-11-13 14:8:54.9030,-5.12,-0.8,0.65,5.22
2022-11-13 14:8:54.9180,-4.89,-0.78,0.26,4.95
2022-11-13 14:8:54.9190,-4.58,-0.94,-0.68,4.72
2022-11-13 14:8:54.9350,-4.04,-1.21,-1.94,4.64
2022-11-13 14:8:54.9360,-3.32,-1.52,-3.19,4.84
2022-11-13 14:8:55.0020,-2.52,-1.86,-3.96,5.04
2022-11-13 14:8:55.0030,-1.69,-2.06,-3.82,4.65
2022-11-13 14:8:55.0190,-0.83,-1.77,-3.08,3.64
2022-11-13 14:8:55.0200,-0.17,-1.01,-2.21,2.43
2022-11-13 14:8:55.0360,0.1,-0.09,-1.8,1.8
2022-11-13 14:8:55.0360,-0.23,0.5,-2.09,2.16
2022-11-13 14:8:55.0520,-1.2,0.26,-2.85,3.1
2022-11-13 14:8:55.0530,-2.42,-1.07,-3.81,4.63
2022-11-13 14:8:55.0680,-3.06,-3.03,-4.28,6.07
2022-11-13 14:8:55.0690,-3.21,-4.91,-3.97,7.08
2022-11-13 14:8:55.1350,-3.06,-6.2,-3.41,7.7
2022-11-13 14:8:55.1360,-2.66,-6.39,-3.1,7.58
2022-11-13 14:8:55.1540,-2.42,-5.53,-2.91,6.7
2022-11-13 14:8:55.1540,-2.53,-4.22,-2.57,5.55
2022-11-13 14:8:55.1690,-2.67,-2.87,-1.86,4.33
2022-11-13 14:8:55.1700,-2.68,-1.83,-0.98,3.38
2022-11-13 14:8:55.1850,-2.5,-1.4,-0.15,2.86
2022-11-13 14:8:55.1860,-2.1,-1.64,0.73,2.76
2022-11-13 14:8:55.2010,-1.67,-2.51,1.76,3.49
2022-11-13 14:8:55.2020,-1.15,-3.9,2.61,4.83
2022-11-13 14:8:55.2680,-0.53,-5.48,2.98,6.26
2022-11-13 14:8:55.2690,0.09,-6.8,2.99,7.42
2022-11-13 14:8:55.2860,0.68,-7.56,3.17,8.22
2022-11-13 14:8:55.2870,1.25,-7.39,3.58,8.3
2022-11-13 14:8:55.3030,1.72,-6.13,4.11,7.57
2022-11-13 14:8:55.3040,1.96,-3.83,4.47,6.2
2022-11-13 14:8:55.3180,1.94,-1.53,4.64,5.25
2022-11-13 14:8:55.3190,1.7,0.03,4.51,4.81
2022-11-13 14:8:55.3340,1.43,0.96,4.37,4.69
2022-11-13 14:8:55.3350,1.37,1.54,4.55,4.99
2022-11-13 14:8:55.4010,1.29,2.03,3.91,4.59
2022-11-13 14:8:55.4020,1.02,2.58,3.31,4.31
2022-11-13 14:8:55.4200,0.26,2.91,3.4,4.48
2022-11-13 14:8:55.4210,-1.11,2.34,4.45,5.14
2022-11-13 14:8:55.4360,-2.03,1.18,5.69,6.15
2022-11-13 14:8:55.4360,-2.6,0.39,5.42,6.02
2022-11-13 14:8:55.4510,-3.12,-0.15,4.7,5.64
2022-11-13 14:8:55.4520,-3.38,-0.02,4.0,5.23
2022-11-13 14:8:55.4680,-3.35,0.79,3.22,4.71
2022-11-13 14:8:55.4690,-2.95,1.87,2.91,4.54
2022-11-13 14:8:55.5350,-2.37,2.88,2.82,4.67
2022-11-13 14:8:55.5360,-1.7,3.6,2.91,4.93
2022-11-13 14:8:55.5530,-0.96,3.93,3.19,5.15
2022-11-13 14:8:55.5540,-0.21,4.0,3.47,5.29
2022-11-13 14:8:55.5690,0.59,4.05,3.55,5.41
2022-11-13 14:8:55.5700,1.5,4.06,3.34,5.46
2022-11-13 14:8:55.5840,2.45,4.08,3.07,5.66
2022-11-13 14:8:55.5850,3.39,4.11,2.97,6.09
2022-11-13 14:8:55.6010,4.29,4.11,2.9,6.61
2022-11-13 14:8:55.6020,4.99,4.19,2.84,7.1
2022-11-13 14:8:55.6670,5.24,4.13,2.71,7.2
2022-11-13 14:8:55.6680,4.63,3.81,2.53,6.5
2022-11-13 14:8:55.6860,2.83,3.2,2.21,4.8
2022-11-13 14:8:55.6870,1.48,2.79,1.72,3.59
2022-11-13 14:8:55.7020,0.62,2.17,1.23,2.57
2022-11-13 14:8:55.7030,-0.13,1.14,0.61,1.29
2022-11-13 14:8:55.7180,-0.8,-0.26,-0.3,0.89
2022-11-13 14:8:55.7190,-1.32,-2.0,-1.51,2.83
2022-11-13 14:8:55.7350,-1.57,-3.73,-3.14,5.12
2022-11-13 14:8:55.7350,-1.16,-4.97,-4.76,6.97
2022-11-13 14:8:55.8020,-0.39,-5.08,-5.89,7.78
2022-11-13 14:8:55.8020,0.1,-3.84,-6.51,7.55
2022-11-13 14:8:55.8200,-0.01,-2.26,-6.63,7.0
2022-11-13 14:8:55.8210,-0.32,-1.23,-6.23,6.35
2022-11-13 14:8:55.8360,-0.3,-0.67,-5.37,5.41
